4.65,4.7,4.73,4.78,4.88,4.9,4.99,5.04,,,,,,,,,,,,,,,,,,
4.6,,,,,,,,,,,,,,,,,,,,,,,,,
4.45,,,,,,,,,,,,,,,,,,,,,,,,,
4.29,,,,,,,,,,,,,,,,,,,,,,,,,
4.26,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,,,,,,
4.12,,,,,,,3.82,4.04,4.23,4.48,4.9,5.25,5.61,5.9,6.18,6.3,6.62,7.07,7.28,7.58,7.8,,8.06,8.3,8.56
4.13,,,,,,0,3.58,3.97,4.24,4.49,4.87,5.26,5.53,5.84,6.07,6.31,6.66,,,,8.08,,,,
4.15,,,,,,,3.93,4.14,4.33,4.55,4.87,5.29,5.52,5.94,6.06,6.34,6.67,,,,8.11,,,,
4.2,,,,,,,4.12,4.13,4.5,4.73,4.94,5.36,5.52,5.94,6.13,6.36,6.68,,,,8.11,,,,
4.24,,,,,,,4.4,4.3,4.6,4.88,5.05,5.43,5.56,5.98,6.16,6.39,6.7,,,,8.14,,,,
4.3,,,,,,,4.71,4.62,4.5,5.04,5.16,5.48,5.63,6.08,6.18,6.41,6.72,,,,8.11,,,,
4.41,,,,,,,4.83,4.81,4.7,5.17,5.27,5.6,5.72,6.1,6.25,6.49,6.77,,,,8.15,,,,
4.5,,,,,,,4.95,4.97,4.92,5.27,5.39,5.65,5.81,6.16,6.27,6.44,6.79,,,,8.17,,,,
4.57,,,,,,,5.08,5.15,5.04,5.38,5.5,5.72,5.86,6.2,6.32,6.5,6.82,,,,8.17,,,,
4.6,,,,,,,5.25,5.3,5.28,5.45,5.55,5.78,5.91,6.24,6.32,6.55,6.83,7.15,7.48,7.73,8.05,,8.2,8.41,8.66
4.66,,,,,,,5.32,5.39,5.34,,,,6.06,6.3,6.4,6.57,6.94,7.04,,,,,,,
4.72,,,,,,,5.38,5.48,5.46,,,,,,,,,,,,,,,,
4.77,,,,,,,5.45,5.58,5.74,,,,,,,,,,,,,,,,
4.78,,,,,,,5.52,5.67,5.8,,,,,,,,,,,,,,,,
4.88,5.25,5.26,5.3,5.35,5.45,5.51,5.65,5.78,5.88,5.9,6.12,,,,,,,,,,,,,,
